ADVANCE_ALCHEMY					"Alchemy"
UNIT_ELVEN_ARCHERS_SUMMARY			"Summary of Elven Archers."
UNIT_FREYA_SUMMARY				"Summary of Freya."
UNIT_GALLEY_SUMMARY				"Summary of Galley."
UNIT_GARGOYLE_SUMMARY				"Summary of Gargoyle."
UNIT_GREAT_WYRM_SUMMARY				"Summary of Great Wyrm."
UNIT_GRIFFIN_SUMMARY				"Summary of Griffin."
UNIT_GUARDIAN_SPIRIT_SUMMARY			"Summary of Guardian Spirit."
UNIT_HELL_HOUNDS_SUMMARY			"Summary of Hell Hounds."
UNIT_HYDRA_SUMMARY				"Summary of Hydra."
UNIT_INFERNAL_DEVICE_SUMMARY			"Summary of Infernal Device."
UNIT_IRON_GOLEM_SUMMARY				"Summary of Iron Golem."
UNIT_JAFAR_SUMMARY				"Summary of Jafar."
UNIT_KNIGHTS_SUMMARY				"Summary of Knights."
UNIT_MAGE_SUMMARY				"Summary of Mage."
UNIT_MALLEUS_SUMMARY				"Summary of Malleus."
UNIT_MERFOLK_SUMMARY				"Summary of Merfolk."
UNIT_MINION_SUMMARY				"Summary of Minion."
UNIT_MINOTAUR_SUMMARY				"Summary of Minotaur."
UNIT_PALADINS_SUMMARY				"Summary of Paladins."
UNIT_PEASANTS_SUMMARY				"Summary of Peasants."
UNIT_PEGASUS_SUMMARY				"Summary of Pegasus."
UNIT_PHANTOM_WARRIORS_SUMMARY			"Summary of Phantom Warriors."
UNIT_RJAK_SUMMARY				"Summary of Rjak."
UNIT_SALAMANDER_SUMMARY				"Summary of Salamander."
UNIT_SERENA_SUMMARY				"Summary of Serena."
UNIT_SETTLER_SUMMARY				"Summary of Settler."
UNIT_SPEARMEN_SUMMARY				"Summary of Spearmen."
UNIT_STEAM_CANNON_SUMMARY			"Summary of Steam Cannon."
UNIT_STORM_DRAKE_SUMMARY			"Summary of Storm Drake."
UNIT_STORM_GIANT_SUMMARY			"Summary of Storm Giant."
UNIT_SWORDSMEN_SUMMARY				"Summary of Swordsmen."
UNIT_TAURON_SUMMARY				"Summary of Tauron."
UNIT_UNDEAD_DRAGON_SUMMARY			"Summary of Undead Dragon."
UNIT_UNICORN_SUMMARY				"Summary of Unicorn."
UNIT_WARBEARS_SUMMARY				"Summary of Warbears."
UNIT_WARLOCK_SUMMARY				"Summary of Warlock."
UNIT_WARRAX_SUMMARY				"Summary of Warrax."
UNIT_WARSHIP_SUMMARY				"Summary of Warship."
UNIT_WAR_MAMMOTH_SUMMARY			"Summary of War Mammoth."
UNIT_WAR_TROLL_SUMMARY				"Summary of War Troll."
UNIT_WRAITH_SUMMARY				"Summary of Wraith."
UNIT_WYVERN_SUMMARY				"Summary of Wyvern."
UNIT_ZOMBIES_SUMMARY				"Summary of Zombies."
GOVERNMENT_ANARCHY				"Anarchy"
GOVERNMENT_COMMUNISM				"Communism"
GOVERNMENT_CORPORATE_REPUBLIC			"Corporate Republic"
GOVERNMENT_DEMOCRACY				"Democracy"
GOVERNMENT_ECOTOPIA				"Ecotopia"
GOVERNMENT_FASCISM				"Fascism"
GOVERNMENT_MONARCHY				"Monarchy"
GOVERNMENT_REPUBLIC				"Republic"
GOVERNMENT_TECHNOCRACY				"Technocracy"
GOVERNMENT_THEOCRACY				"Theocracy"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Virtual Democracy"
TILEIMP_RAILROAD				"Enchanted Road"
IMPROVE_XPOWER_PLANT				"Xpower Plant"
DESCRIPTION_IMPROVE_XPOWER_PLANT		"Xpower Plant is a Master of Magic city improvement."
IMPROVE_XHYDRO_PLANT				"Xhydro Plant"
DESCRIPTION_IMPROVE_XHYDRO_PLANT		"Xhydro Plant is a Master of Magic city improvement."
ORDER_MOVE					"Move"
ORDER_ATTACK					"Assault"
ORDER_FORTIFY					"Fortify"
ORDER_SLEEP					"Sentinel"
ORDER_PILLAGE					"Pillage"
ORDER_INTERCEPT_TRADE				"Piracy"
ORDER_EXPEL					"Expel Unit"
ORDER_REFORM					"Reform City"
ORDER_BOMBARD					"Bombard"
ORDER_BOARD_TRANSPORT				"Load"
ORDER_UNLOAD					"Unload"
ORDER_UPGRADE					"Upgrade"
ORDER_DISBAND_ARMY				"Disband Unit"
ORDER_SETTLE					"Settle"
ORDER_SETTLE_IN_CITY				"Settle in City"
ORDER_ESTABLISH_EMBASSY				"Establish Embassy"
ORDER_THROW_PARTY				"Hold Reception"
ORDER_INVESTIGATE_CITY				"Spy"
ORDER_STEAL_TECHNOLOGY				"Steal Advance"
ORDER_INCITE_REVOLUTION				"Incite Revolution"
ORDER_CONVERT					"Convert City"
ORDER_SOOTHSAY					"Soothsay"
ORDER_INDULGENCE				"Sell Indulgence"
ORDER_FAITH_HEALING				"Faith Healing"
ORDER_SLAVE_RAID				"Capture Slaves"
ORDER_ENSLAVE_SETTLER				"Enslave"
ORDER_INCITE_UPRISING				"Aid Uprising"
ORDER_UNDERGROUND_RAILWAY			"Free Slave"
ORDER_PLAGUE					"Plague"
ORDER_ASSASSINATE				"Assassinate Ruler"
ORDER_RANGED_ATTACK				"Ranged Attack"
ORDER_PARADROP					"Paradrop"
ORDER_INVESTIGATE_READINESS			"Investigate Readiness"
ORDER_AIRLIFT					"Airlift"

